Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0 , FI poppop: 0 , różnica czasu: 0.1
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0 , różnica czasu: 0.11800000000000033
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.08699999999999974
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10799999999999965
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10000000000000053
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.0909999999999993
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10600000000000076
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09699999999999953
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10799999999999965
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09000000000000075
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.12199999999999989
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.07899999999999974
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.1070000000000002
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10499999999999954
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10099999999999998
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10099999999999998
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10800000000000054
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09499999999999975
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.10899999999999999
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09700000000000042
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09399999999999942
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09900000000000109
Odczyt z enkodera: [4.0, 85.0, 0.0] , Moc: 0.00 , FI akt: 0.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.09999999999999964
Odczyt z enkodera: [4.0, 85.0, 1.0] , Moc: 6.90 , FI akt: 1.0 , FI pop: 0.0 , FI poppop: 0.0 , różnica czasu: 0.08899999999999864
Odczyt z enkodera: [4.0, 85.0, 12.0] , Moc: 73.10 , FI akt: 12.0 , FI pop: 1.0 , FI poppop: 0.0 , różnica czasu: 0.10100000000000087
Odczyt z enkodera: [4.0, 85.0, 27.0] , Moc: 84.01 , FI akt: 27.0 , FI pop: 12.0 , FI poppop: 1.0 , różnica czasu: 0.1120000000000001
Odczyt z enkodera: [4.0, 85.0, 48.0] , Moc: 142.04 , FI akt: 48.0 , FI pop: 27.0 , FI poppop: 12.0 , różnica czasu: 0.09600000000000009
